date,city,usd_sos_rate,daily_change_percent,market_type,source,rate_ma7,rate_ma30
2024-01-01,Mogadishu,580.88,0.171,black/official,Black Market,580.88,580.88
2024-01-02,Mogadishu,578.92,-0.383,black/official,Black Market,579.9,579.9
2024-01-03,Mogadishu,582.73,0.545,black/official,Black Market,580.8433333333334,580.8433333333334
2024-01-04,Mogadishu,581.13,-0.2,black/official,Black Market,580.915,580.915
2024-01-05,Mogadishu,579.99,0.084,black/official,Black Market,580.73,580.73
2024-01-06,Mogadishu,580.32,0.282,black/official,Black Market,580.6616666666667,580.6616666666667
2024-01-07,Mogadishu,577.31,-0.314,black/official,Black Market,580.1828571428571,580.1828571428571
2024-01-08,Mogadishu,576.56,-0.218,black/official,Black Market,579.5657142857143,579.73
2024-01-09,Mogadishu,575.56,-0.189,black/official,Black Market,579.0857142857142,579.2666666666667
2024-01-10,Mogadishu,575.17,-0.208,black/official,Black Market,578.0057142857142,578.857
2024-01-11,Mogadishu,575.54,-0.209,black/official,Black Market,577.2071428571428,578.5554545454545
2024-01-12,Mogadishu,574.47,-0.185,black/official,Black Market,576.4185714285715,578.215
2024-01-13,Mogadishu,575.08,0.287,black/official,Black Market,575.67,577.9738461538461
2024-01-14,Mogadishu,581.65,0.965,black/official,Black Market,576.2900000000001,578.2364285714285
2024-01-15,Mogadishu,583.28,0.254,black/official,Black Market,577.25,578.5726666666667
2024-01-16,Mogadishu,579.92,-0.347,black/official,Black Market,577.8728571428571,578.656875
2024-01-17,Mogadishu,579.9,-0.159,black/official,Black Market,578.5485714285714,578.73
2024-01-18,Mogadishu,577.75,-0.39,black/official,Black Market,578.8642857142858,578.6755555555555
2024-01-19,Mogadishu,574.21,-0.702,black/official,Black Market,578.8271428571428,578.4405263157894
2024-01-20,Mogadishu,576.13,0.203,black/official,Black Market,578.9771428571429,578.325
2024-01-21,Mogadishu,574.19,-0.291,black/official,Black Market,577.9114285714286,578.1280952380953
2024-01-22,Mogadishu,572.12,-0.524,black/official,Black Market,576.3171428571429,577.855
2024-01-23,Mogadishu,568.89,-0.387,black/official,Black Market,574.7414285714286,577.4652173913043
2024-01-24,Mogadishu,570.81,0.293,black/official,Black Market,573.4428571428572,577.1879166666666
2024-01-25,Mogadishu,570.99,0.127,black/official,Black Market,572.4771428571429,576.94
2024-01-26,Mogadishu,574.27,0.524,black/official,Black Market,572.4857142857143,576.8373076923077
2024-01-27,Mogadishu,569.73,-0.911,black/official,Black Market,571.5714285714286,576.574074074074
2024-01-28,Mogadishu,567.79,-0.497,black/official,Black Market,570.657142857143,576.2603571428571
2024-01-29,Mogadishu,567.65,-0.077,black/official,Black Market,570.0185714285714,575.963448275862
2024-01-30,Mogadishu,566.71,-0.278,black/official,Black Market,569.7071428571428,575.6550000000001
2024-01-31,Mogadishu,564.67,-0.285,black/official,Black Market,568.83,575.1146666666666
2024-02-01,Mogadishu,566.66,0.177,black/official,Black Market,568.2114285714285,574.706
2024-02-02,Mogadishu,566.04,-0.187,black/official,Black Market,567.0357142857143,574.1496666666667
2024-02-03,Mogadishu,568.94,0.485,black/official,Black Market,566.9228571428571,573.7433333333333
2024-02-04,Mogadishu,567.26,-0.247,black/official,Black Market,566.8471428571429,573.319
2024-02-05,Mogadishu,569.56,0.449,black/official,Black Market,567.12,572.9603333333332
2024-02-06,Mogadishu,569.38,0.002,black/official,Black Market,567.5014285714286,572.696
2024-02-07,Mogadishu,568.35,-0.139,black/official,Black Market,568.0271428571428,572.4223333333333
2024-02-08,Mogadishu,568.37,-0.057,black/official,Black Market,568.2714285714286,572.1826666666667
2024-02-09,Mogadishu,567.68,-0.331,black/official,Black Market,568.5057142857142,571.9330000000001
2024-02-10,Mogadishu,563.83,-0.676,black/official,Black Market,567.7757142857143,571.5426666666666
2024-02-11,Mogadishu,563.67,0.036,black/official,Black Market,567.2628571428571,571.1826666666668
2024-02-12,Mogadishu,563.55,-0.068,black/official,Black Market,566.4042857142857,570.7983333333334
2024-02-13,Mogadishu,564.23,0.121,black/official,Black Market,565.6685714285715,570.2176666666667
2024-02-14,Mogadishu,567.16,0.405,black/official,Black Market,565.4985714285714,569.6803333333334
2024-02-15,Mogadishu,566.73,-0.282,black/official,Black Market,565.2642857142857,569.2406666666667
2024-02-16,Mogadishu,569.77,0.207,black/official,Black Market,565.5628571428572,568.903
2024-02-17,Mogadishu,569.58,-0.173,black/official,Black Market,566.3842857142856,568.6306666666666
2024-02-18,Mogadishu,569.35,0.035,black/official,Black Market,567.1957142857143,568.4686666666668
2024-02-19,Mogadishu,569.07,0.003,black/official,Black Market,567.9842857142856,568.2333333333333
2024-02-20,Mogadishu,567.35,-0.373,black/official,Black Market,568.4300000000001,568.0053333333333
2024-02-21,Mogadishu,568.46,0.219,black/official,Black Market,568.6157142857144,567.8833333333333
2024-02-22,Mogadishu,566.63,-0.275,black/official,Black Market,568.6014285714285,567.8079999999999
2024-02-23,Mogadishu,566.39,-0.126,black/official,Black Market,568.1185714285714,567.6606666666667
2024-02-24,Mogadishu,567.96,0.08,black/official,Black Market,567.8871428571429,567.5596666666667
2024-02-25,Mogadishu,567.14,-0.114,black/official,Black Market,567.5714285714286,567.322
2024-02-26,Mogadishu,568.34,0.092,black/official,Black Market,567.4671428571429,567.2756666666667
2024-02-27,Mogadishu,570.2,0.458,black/official,Black Market,567.8742857142857,567.356
2024-02-28,Mogadishu,571.0,0.088,black/official,Black Market,568.2371428571429,567.4676666666668
2024-02-29,Mogadishu,573.09,0.238,black/official,Black Market,569.1600000000001,567.6803333333334
2024-03-01,Mogadishu,574.25,0.307,black/official,Black Market,570.2828571428572,567.9996666666667
2024-03-02,Mogadishu,573.57,0.061,black/official,Black Market,571.0842857142858,568.23
2024-03-03,Mogadishu,571.75,-0.415,black/official,Black Market,571.7428571428571,568.4203333333334
2024-03-04,Mogadishu,569.29,-0.263,black/official,Black Market,571.8785714285714,568.432
2024-03-05,Mogadishu,571.58,0.338,black/official,Black Market,572.0757142857143,568.5759999999999
2024-03-06,Mogadishu,569.97,-0.303,black/official,Black Market,571.9285714285714,568.5896666666667
2024-03-07,Mogadishu,567.51,-0.312,black/official,Black Market,571.1314285714286,568.5273333333333
2024-03-08,Mogadishu,569.07,0.31,black/official,Black Market,570.3914285714285,568.5513333333333
2024-03-09,Mogadishu,570.34,0.005,black/official,Black Market,569.9300000000001,568.617
2024-03-10,Mogadishu,567.5,-0.493,black/official,Black Market,569.3228571428572,568.611
2024-03-11,Mogadishu,565.78,-0.377,black/official,Black Market,568.8214285714287,568.6759999999999
2024-03-12,Mogadishu,566.17,-0.044,black/official,Black Market,568.0485714285714,568.7593333333333
2024-03-13,Mogadishu,563.19,-0.3,black/official,Black Market,567.08,568.7473333333332
2024-03-14,Mogadishu,560.91,-0.329,black/official,Black Market,566.1371428571429,568.6366666666667
2024-03-15,Mogadishu,561.59,0.062,black/official,Black Market,565.0685714285715,568.4509999999999
2024-03-16,Mogadishu,561.37,0.083,black/official,Black Market,563.7871428571428,568.2723333333334
2024-03-17,Mogadishu,560.52,0.021,black/official,Black Market,562.7900000000001,567.9639999999999
2024-03-18,Mogadishu,563.18,0.311,black/official,Black Market,562.4185714285715,567.7506666666667
2024-03-19,Mogadishu,559.64,-0.49,black/official,Black Market,561.4857142857143,567.427
2024-03-20,Mogadishu,560.47,0.109,black/official,Black Market,561.0971428571429,567.1403333333333
2024-03-21,Mogadishu,564.79,0.183,black/official,Black Market,561.6514285714286,567.0550000000001
2024-03-22,Mogadishu,568.3,0.471,black/official,Black Market,562.61,567.0496666666666
2024-03-23,Mogadishu,568.32,-0.11,black/official,Black Market,563.6028571428571,567.106
2024-03-24,Mogadishu,567.93,0.058,black/official,Black Market,564.6614285714285,567.1573333333333
2024-03-25,Mogadishu,570.98,0.818,black/official,Black Market,565.7757142857142,567.2579999999999
2024-03-26,Mogadishu,570.22,-0.145,black/official,Black Market,567.2871428571428,567.3606666666667
2024-03-27,Mogadishu,570.21,-0.165,black/official,Black Market,568.6785714285714,567.423
2024-03-28,Mogadishu,573.45,0.548,black/official,Black Market,569.9157142857142,567.5313333333332
2024-03-29,Mogadishu,572.18,-0.254,black/official,Black Market,570.47,567.5706666666666
2024-03-30,Mogadishu,578.54,0.833,black/official,Black Market,571.9300000000001,567.7523333333334
2024-03-31,Mogadishu,574.65,-0.7,black/official,Black Market,572.89,567.7656666666666
2024-04-01,Mogadishu,572.35,-0.155,black/official,Black Market,573.0857142857143,567.725
2024-04-02,Mogadishu,574.1,0.177,black/official,Black Market,573.64,567.8033333333333
2024-04-03,Mogadishu,573.17,-0.116,black/official,Black Market,574.0628571428571,567.9326666666668
2024-04-04,Mogadishu,577.06,0.616,black/official,Black Market,574.5785714285714,568.1153333333333
2024-04-05,Mogadishu,579.22,0.131,black/official,Black Market,575.5842857142857,568.4236666666667
2024-04-06,Mogadishu,575.78,-0.525,black/official,Black Market,575.1899999999999,568.6993333333334
2024-04-07,Mogadishu,576.91,-0.082,black/official,Black Market,575.5128571428571,568.9606666666666
2024-04-08,Mogadishu,569.56,-1.125,black/official,Black Market,575.1142857142856,568.9346666666667
2024-04-09,Mogadishu,564.47,-0.701,black/official,Black Market,573.7385714285714,568.8336666666668
2024-04-10,Mogadishu,563.71,-0.155,black/official,Black Market,572.3871428571429,568.7646666666667
2024-04-11,Mogadishu,565.83,0.021,black/official,Black Market,570.7828571428571,568.7533333333333
2024-04-12,Mogadishu,564.27,-0.346,black/official,Black Market,568.6471428571429,568.7893333333334
2024-04-13,Mogadishu,563.93,-0.071,black/official,Black Market,566.9542857142858,568.89
2024-04-14,Mogadishu,564.72,0.041,black/official,Black Market,565.2128571428572,568.9943333333334
2024-04-15,Mogadishu,565.3,-0.217,black/official,Black Market,564.6042857142858,569.1253333333333
2024-04-16,Mogadishu,565.5,-0.053,black/official,Black Market,564.7514285714286,569.2913333333333
2024-04-17,Mogadishu,564.71,-0.172,black/official,Black Market,564.8942857142857,569.3423333333334
2024-04-18,Mogadishu,564.26,-0.208,black/official,Black Market,564.67,569.4963333333333
2024-04-19,Mogadishu,567.41,0.337,black/official,Black Market,565.1185714285714,569.7276666666668
2024-04-20,Mogadishu,569.58,0.287,black/official,Black Market,565.9257142857143,569.8873333333333
2024-04-21,Mogadishu,570.09,0.194,black/official,Black Market,566.6928571428572,569.947
2024-04-22,Mogadishu,570.15,-0.007,black/official,Black Market,567.3857142857142,570.008
2024-04-23,Mogadishu,569.81,-0.234,black/official,Black Market,568.0014285714285,570.0706666666666
2024-04-24,Mogadishu,570.32,-0.076,black/official,Black Market,568.8028571428571,570.0486666666667
2024-04-25,Mogadishu,569.73,-0.143,black/official,Black Market,569.5842857142858,570.0323333333333
2024-04-26,Mogadishu,572.37,0.459,black/official,Black Market,570.2928571428572,570.1043333333333
2024-04-27,Mogadishu,572.62,-0.083,black/official,Black Market,570.7271428571429,570.0766666666666
2024-04-28,Mogadishu,573.17,0.114,black/official,Black Market,571.1671428571428,570.1096666666667
2024-04-29,Mogadishu,577.91,0.667,black/official,Black Market,572.2757142857143,570.0886666666667
2024-04-30,Mogadishu,574.87,-0.348,black/official,Black Market,572.9985714285715,570.096
2024-05-01,Mogadishu,576.99,0.268,black/official,Black Market,573.9514285714286,570.2506666666667
2024-05-02,Mogadishu,576.21,-0.004,black/official,Black Market,574.8771428571429,570.321
2024-05-03,Mogadishu,573.54,-0.723,black/official,Black Market,575.0442857142857,570.3333333333334
2024-05-04,Mogadishu,571.62,-0.287,black/official,Black Market,574.9014285714285,570.152
2024-05-05,Mogadishu,574.01,0.215,black/official,Black Market,575.0214285714286,569.9783333333332
2024-05-06,Mogadishu,574.08,0.086,black/official,Black Market,574.4742857142857,569.9216666666667
2024-05-07,Mogadishu,575.95,0.195,black/official,Black Market,574.6285714285715,569.8896666666667
2024-05-08,Mogadishu,571.86,-0.503,black/official,Black Market,573.8957142857143,569.9663333333333
2024-05-09,Mogadishu,571.7,-0.231,black/official,Black Market,573.2514285714286,570.2073333333333
2024-05-10,Mogadishu,573.58,0.109,black/official,Black Market,573.2571428571429,570.5363333333333
2024-05-11,Mogadishu,572.98,-0.105,black/official,Black Market,573.4514285714287,570.7746666666667
2024-05-12,Mogadishu,572.93,0.113,black/official,Black Market,573.2971428571428,571.0633333333334
2024-05-13,Mogadishu,574.0,0.172,black/official,Black Market,573.2857142857143,571.399
2024-05-14,Mogadishu,575.04,0.241,black/official,Black Market,573.1557142857143,571.743
2024-05-15,Mogadishu,576.02,0.025,black/official,Black Market,573.75,572.1003333333333
2024-05-16,Mogadishu,575.57,0.034,black/official,Black Market,574.3028571428571,572.436
2024-05-17,Mogadishu,580.47,0.791,black/official,Black Market,575.2871428571428,572.9613333333333
2024-05-18,Mogadishu,584.14,0.743,black/official,Black Market,576.8814285714286,573.6239999999999
2024-05-19,Mogadishu,584.75,-0.037,black/official,Black Market,578.5699999999999,574.2019999999999
2024-05-20,Mogadishu,582.57,-0.287,black/official,Black Market,579.7942857142857,574.635
2024-05-21,Mogadishu,583.1,0.356,black/official,Black Market,580.9457142857143,575.0686666666667
2024-05-22,Mogadishu,585.39,0.117,black/official,Black Market,582.2842857142857,575.5766666666666
2024-05-23,Mogadishu,587.36,0.195,black/official,Black Market,583.9685714285714,576.1616666666667
2024-05-24,Mogadishu,586.28,-0.448,black/official,Black Market,584.7985714285714,576.6936666666666
2024-05-25,Mogadishu,585.9,-0.025,black/official,Black Market,585.05,577.2326666666667
2024-05-26,Mogadishu,583.64,-0.583,black/official,Black Market,584.8914285714285,577.6083333333333
2024-05-27,Mogadishu,584.43,0.095,black/official,Black Market,585.1571428571427,578.0020000000001
2024-05-28,Mogadishu,580.74,-0.546,black/official,Black Market,584.8199999999999,578.2543333333332
2024-05-29,Mogadishu,581.52,0.09,black/official,Black Market,584.2671428571429,578.3746666666666
2024-05-30,Mogadishu,581.58,0.002,black/official,Black Market,583.4414285714286,578.5983333333334
