date,city,fuel_type,fuel_price_usd,fuel_price_sos,station_type
2024-01-01,Mogadishu,Petrol,0.873,534.31,Private Station
2024-01-01,Mogadishu,Petrol,0.829,507.59,Government Station
2024-01-01,Mogadishu,Petrol,0.96,587.74,Black Market
2024-01-02,Mogadishu,Petrol,0.884,533.07,Private Station
2024-01-02,Mogadishu,Petrol,0.84,506.42,Government Station
2024-01-02,Mogadishu,Petrol,0.972,586.38,Black Market
2024-01-03,Mogadishu,Petrol,0.891,549.17,Private Station
2024-01-03,Mogadishu,Petrol,0.847,521.72,Government Station
2024-01-03,Mogadishu,Petrol,0.98,604.09,Black Market
2024-01-04,Mogadishu,Petrol,0.912,561.17,Private Station
2024-01-04,Mogadishu,Petrol,0.866,533.11,Government Station
2024-01-04,Mogadishu,Petrol,1.003,617.28,Black Market
2024-01-05,Mogadishu,Petrol,0.903,545.18,Private Station
2024-01-05,Mogadishu,Petrol,0.858,517.93,Government Station
2024-01-05,Mogadishu,Petrol,0.994,599.7,Black Market
2024-01-06,Mogadishu,Petrol,0.9,541.45,Private Station
2024-01-06,Mogadishu,Petrol,0.855,514.38,Government Station
2024-01-06,Mogadishu,Petrol,0.99,595.6,Black Market
2024-01-07,Mogadishu,Petrol,0.895,553.36,Private Station
2024-01-07,Mogadishu,Petrol,0.85,525.69,Government Station
2024-01-07,Mogadishu,Petrol,0.985,608.69,Black Market
2024-01-08,Mogadishu,Petrol,0.864,533.43,Private Station
2024-01-08,Mogadishu,Petrol,0.821,506.76,Government Station
2024-01-08,Mogadishu,Petrol,0.95,586.77,Black Market
2024-01-09,Mogadishu,Petrol,0.89,536.58,Private Station
2024-01-09,Mogadishu,Petrol,0.846,509.76,Government Station
2024-01-09,Mogadishu,Petrol,0.98,590.24,Black Market
2024-01-10,Mogadishu,Petrol,0.869,535.33,Private Station
2024-01-10,Mogadishu,Petrol,0.826,508.56,Government Station
2024-01-10,Mogadishu,Petrol,0.956,588.86,Black Market
2024-01-11,Mogadishu,Petrol,0.865,531.36,Private Station
2024-01-11,Mogadishu,Petrol,0.822,504.79,Government Station
2024-01-11,Mogadishu,Petrol,0.952,584.5,Black Market
2024-01-12,Mogadishu,Petrol,0.88,530.55,Private Station
2024-01-12,Mogadishu,Petrol,0.836,504.03,Government Station
2024-01-12,Mogadishu,Petrol,0.968,583.61,Black Market
2024-01-13,Mogadishu,Petrol,0.89,546.94,Private Station
2024-01-13,Mogadishu,Petrol,0.846,519.6,Government Station
2024-01-13,Mogadishu,Petrol,0.979,601.64,Black Market
2024-01-14,Mogadishu,Petrol,0.876,536.98,Private Station
2024-01-14,Mogadishu,Petrol,0.832,510.13,Government Station
2024-01-14,Mogadishu,Petrol,0.964,590.68,Black Market
2024-01-15,Mogadishu,Petrol,0.918,565.1,Private Station
2024-01-15,Mogadishu,Petrol,0.872,536.85,Government Station
2024-01-15,Mogadishu,Petrol,1.01,621.61,Black Market
2024-01-16,Mogadishu,Petrol,0.914,566.33,Private Station
2024-01-16,Mogadishu,Petrol,0.869,538.02,Government Station
2024-01-16,Mogadishu,Petrol,1.006,622.97,Black Market
2024-01-17,Mogadishu,Petrol,0.92,564.7,Private Station
2024-01-17,Mogadishu,Petrol,0.874,536.47,Government Station
2024-01-17,Mogadishu,Petrol,1.012,621.17,Black Market
2024-01-18,Mogadishu,Petrol,0.927,566.62,Private Station
2024-01-18,Mogadishu,Petrol,0.88,538.29,Government Station
2024-01-18,Mogadishu,Petrol,1.019,623.28,Black Market
2024-01-19,Mogadishu,Petrol,0.938,574.44,Private Station
2024-01-19,Mogadishu,Petrol,0.891,545.72,Government Station
2024-01-19,Mogadishu,Petrol,1.032,631.89,Black Market
2024-01-20,Mogadishu,Petrol,0.95,578.57,Private Station
2024-01-20,Mogadishu,Petrol,0.903,549.64,Government Station
2024-01-20,Mogadishu,Petrol,1.045,636.43,Black Market
2024-01-21,Mogadishu,Petrol,0.943,583.27,Private Station
2024-01-21,Mogadishu,Petrol,0.896,554.1,Government Station
2024-01-21,Mogadishu,Petrol,1.037,641.59,Black Market
2024-01-22,Mogadishu,Petrol,0.892,537.04,Private Station
2024-01-22,Mogadishu,Petrol,0.847,510.18,Government Station
2024-01-22,Mogadishu,Petrol,0.981,590.74,Black Market
2024-01-23,Mogadishu,Petrol,0.849,525.92,Private Station
2024-01-23,Mogadishu,Petrol,0.806,499.63,Government Station
2024-01-23,Mogadishu,Petrol,0.933,578.52,Black Market
2024-01-24,Mogadishu,Petrol,0.857,529.2,Private Station
2024-01-24,Mogadishu,Petrol,0.814,502.74,Government Station
2024-01-24,Mogadishu,Petrol,0.943,582.12,Black Market
2024-01-25,Mogadishu,Petrol,0.834,509.87,Private Station
2024-01-25,Mogadishu,Petrol,0.793,484.38,Government Station
2024-01-25,Mogadishu,Petrol,0.918,560.86,Black Market
2024-01-26,Mogadishu,Petrol,0.838,506.55,Private Station
2024-01-26,Mogadishu,Petrol,0.796,481.22,Government Station
2024-01-26,Mogadishu,Petrol,0.922,557.2,Black Market
2024-01-27,Mogadishu,Petrol,0.852,524.5,Private Station
2024-01-27,Mogadishu,Petrol,0.809,498.27,Government Station
2024-01-27,Mogadishu,Petrol,0.937,576.94,Black Market
2024-01-28,Mogadishu,Petrol,0.858,519.54,Private Station
2024-01-28,Mogadishu,Petrol,0.815,493.56,Government Station
2024-01-28,Mogadishu,Petrol,0.944,571.49,Black Market
2024-01-29,Mogadishu,Petrol,0.853,516.63,Private Station
2024-01-29,Mogadishu,Petrol,0.81,490.8,Government Station
2024-01-29,Mogadishu,Petrol,0.938,568.29,Black Market
