date,city,rent_index,food_index,transport_index,utilities_index,internet_index,total_cost_index
2024-01-01,Mogadishu,114.59,114.4,115.08,115.35,115.76,115.04
2024-01-02,Mogadishu,113.81,114.62,115.76,115.55,116.01,115.15
2024-01-03,Mogadishu,114.92,114.79,115.25,114.78,116.08,115.16
2024-01-04,Mogadishu,114.43,114.37,115.56,115.57,114.97,114.98
2024-01-05,Mogadishu,114.19,114.16,115.34,115.33,115.19,114.84
2024-01-06,Mogadishu,115.48,115.13,116.22,115.63,113.96,115.28
2024-01-07,Mogadishu,115.17,116.48,115.22,115.48,113.21,115.11
2024-01-08,Mogadishu,116.38,116.77,115.03,115.66,113.64,115.5
2024-01-09,Mogadishu,116.19,115.7,114.64,115.8,112.79,115.02
2024-01-10,Mogadishu,116.46,115.52,115.77,116.03,112.92,115.34
2024-01-11,Mogadishu,116.17,116.07,115.66,115.78,112.47,115.23
2024-01-12,Mogadishu,115.99,116.61,115.44,114.67,112.12,114.96
2024-01-13,Mogadishu,115.08,117.73,115.55,114.25,112.29,114.98
2024-01-14,Mogadishu,116.28,116.37,115.44,114.77,111.62,114.9
2024-01-15,Mogadishu,115.65,116.61,116.54,115.6,111.1,115.1
2024-01-16,Mogadishu,115.42,116.34,116.49,115.76,110.86,114.97
2024-01-17,Mogadishu,114.8,115.36,115.77,116.1,112.01,114.81
2024-01-18,Mogadishu,114.08,115.35,116.62,115.72,111.98,114.75
2024-01-19,Mogadishu,113.57,116.06,116.02,115.05,111.82,114.51
2024-01-20,Mogadishu,114.3,115.0,115.76,115.66,110.84,114.31
2024-01-21,Mogadishu,114.73,115.68,115.52,115.35,110.13,114.28
2024-01-22,Mogadishu,114.1,114.77,115.47,115.85,109.66,113.97
2024-01-23,Mogadishu,113.43,115.92,115.53,115.92,109.12,113.98
2024-01-24,Mogadishu,113.41,116.44,115.45,116.36,110.0,114.33
2024-01-25,Mogadishu,113.93,115.79,115.53,116.29,110.38,114.38
2024-01-26,Mogadishu,115.1,116.1,116.31,115.96,110.59,114.81
2024-01-27,Mogadishu,114.7,117.13,116.12,115.98,110.89,114.96
2024-01-28,Mogadishu,115.46,117.87,116.71,114.94,110.21,115.04
2024-01-29,Mogadishu,116.18,117.84,117.31,114.73,109.64,115.14
2024-01-30,Mogadishu,114.98,117.53,118.51,115.83,109.78,115.32
2024-01-31,Mogadishu,114.43,117.3,118.83,115.3,110.3,115.23
2024-02-01,Mogadishu,114.92,117.77,118.79,115.8,110.35,115.52
2024-02-02,Mogadishu,115.79,117.84,117.81,116.6,110.12,115.63
2024-02-03,Mogadishu,116.24,117.97,117.46,116.99,110.2,115.77
2024-02-04,Mogadishu,116.14,118.08,117.02,117.59,109.97,115.76
2024-02-05,Mogadishu,115.98,118.35,116.68,116.57,110.12,115.54
2024-02-06,Mogadishu,115.75,117.76,117.09,117.09,110.1,115.56
2024-02-07,Mogadishu,115.0,117.56,117.26,116.47,110.69,115.4
2024-02-08,Mogadishu,114.82,118.15,116.98,116.69,111.1,115.55
2024-02-09,Mogadishu,115.17,119.1,116.69,116.61,111.55,115.82
2024-02-10,Mogadishu,114.03,118.54,116.74,116.34,111.95,115.52
2024-02-11,Mogadishu,113.79,118.35,116.64,115.74,113.28,115.56
2024-02-12,Mogadishu,114.81,118.16,116.86,115.44,113.8,115.81
2024-02-13,Mogadishu,115.81,118.4,116.89,114.42,114.25,115.95
2024-02-14,Mogadishu,115.61,118.59,116.86,114.19,114.08,115.87
2024-02-15,Mogadishu,116.2,118.78,116.99,114.24,114.17,116.08
2024-02-16,Mogadishu,116.31,117.88,116.83,114.63,114.05,115.94
2024-02-17,Mogadishu,115.99,117.97,116.8,115.68,114.95,116.28
2024-02-18,Mogadishu,115.65,118.12,117.91,114.79,115.23,116.34
2024-02-19,Mogadishu,115.34,118.62,118.2,115.07,114.96,116.44
2024-02-20,Mogadishu,116.19,118.27,117.94,115.31,115.1,116.56
2024-02-21,Mogadishu,117.12,117.67,117.92,116.1,114.66,116.69
2024-02-22,Mogadishu,117.05,117.09,117.68,116.41,115.84,116.81
2024-02-23,Mogadishu,117.13,116.49,118.15,115.53,115.33,116.53
2024-02-24,Mogadishu,116.91,115.96,117.24,116.56,115.07,116.35
2024-02-25,Mogadishu,117.58,116.34,117.83,117.66,115.34,116.95
2024-02-26,Mogadishu,117.25,116.28,118.67,117.89,115.65,117.15
2024-02-27,Mogadishu,116.97,115.79,118.63,118.17,115.86,117.08
2024-02-28,Mogadishu,117.2,115.86,119.19,119.51,116.48,117.65
2024-02-29,Mogadishu,116.87,115.81,120.91,120.24,117.38,118.24
2024-03-01,Mogadishu,116.9,116.33,120.94,120.27,116.78,118.24
2024-03-02,Mogadishu,117.61,116.44,119.89,120.83,116.77,118.31
2024-03-03,Mogadishu,118.03,116.48,121.01,119.86,117.21,118.52
2024-03-04,Mogadishu,118.16,116.08,120.4,119.63,117.11,118.27
2024-03-05,Mogadishu,118.39,117.58,120.52,119.51,116.99,118.6
2024-03-06,Mogadishu,119.01,118.1,121.03,119.36,116.56,118.81
2024-03-07,Mogadishu,118.28,118.72,120.95,119.06,117.6,118.92
2024-03-08,Mogadishu,117.7,118.4,120.53,118.05,117.31,118.4
2024-03-09,Mogadishu,118.22,119.2,120.19,118.06,117.36,118.61
2024-03-10,Mogadishu,118.08,118.29,119.86,117.75,116.68,118.13
2024-03-11,Mogadishu,117.85,119.13,119.94,117.63,117.18,118.35
2024-03-12,Mogadishu,117.5,119.6,120.31,117.77,116.89,118.41
2024-03-13,Mogadishu,117.97,119.93,120.66,118.17,116.45,118.64
2024-03-14,Mogadishu,119.38,120.03,120.9,118.53,115.82,118.93
2024-03-15,Mogadishu,120.49,120.21,119.29,117.83,115.7,118.7
2024-03-16,Mogadishu,120.04,119.61,119.71,119.24,116.45,119.01
2024-03-17,Mogadishu,119.69,120.38,118.72,118.81,115.63,118.65
2024-03-18,Mogadishu,120.23,120.6,119.0,119.31,115.88,119.01
2024-03-19,Mogadishu,120.34,120.68,118.88,118.88,116.65,119.08
2024-03-20,Mogadishu,118.87,120.55,118.71,119.82,116.4,118.87
2024-03-21,Mogadishu,119.4,119.41,118.61,119.92,115.97,118.66
2024-03-22,Mogadishu,119.47,119.56,118.3,119.93,115.55,118.56
2024-03-23,Mogadishu,119.18,119.69,118.45,119.38,115.59,118.46
2024-03-24,Mogadishu,119.64,120.33,118.45,119.27,116.35,118.81
2024-03-25,Mogadishu,119.55,119.93,117.43,119.73,116.81,118.69
2024-03-26,Mogadishu,120.12,119.36,117.36,119.97,117.33,118.83
2024-03-27,Mogadishu,120.8,118.46,117.32,120.47,117.25,118.86
2024-03-28,Mogadishu,120.44,117.77,117.37,120.05,118.69,118.86
2024-03-29,Mogadishu,120.11,118.24,117.21,119.96,118.68,118.84
2024-03-30,Mogadishu,119.82,118.45,117.82,120.26,118.58,118.99
2024-03-31,Mogadishu,119.17,117.86,117.75,120.66,118.64,118.81
