date,city,usd_sos_rate,daily_change_percent,market_type,source
2024-01-01,Mogadishu,580.88,0.171,black/official,Black Market
2024-01-02,Mogadishu,578.92,-0.383,black/official,Black Market
2024-01-03,Mogadishu,582.73,0.545,black/official,Black Market
2024-01-04,Mogadishu,581.13,-0.2,black/official,Black Market
2024-01-05,Mogadishu,579.99,0.084,black/official,Black Market
2024-01-06,Mogadishu,580.32,0.282,black/official,Black Market
2024-01-07,Mogadishu,577.31,-0.314,black/official,Black Market
2024-01-08,Mogadishu,576.56,-0.218,black/official,Black Market
2024-01-09,Mogadishu,575.56,-0.189,black/official,Black Market
2024-01-10,Mogadishu,575.17,-0.208,black/official,Black Market
2024-01-11,Mogadishu,575.54,-0.209,black/official,Black Market
2024-01-12,Mogadishu,574.47,-0.185,black/official,Black Market
2024-01-13,Mogadishu,575.08,0.287,black/official,Black Market
2024-01-14,Mogadishu,581.65,0.965,black/official,Black Market
2024-01-15,Mogadishu,583.28,0.254,black/official,Black Market
2024-01-16,Mogadishu,579.92,-0.347,black/official,Black Market
2024-01-17,Mogadishu,579.9,-0.159,black/official,Black Market
2024-01-18,Mogadishu,577.75,-0.39,black/official,Black Market
2024-01-19,Mogadishu,574.21,-0.702,black/official,Black Market
2024-01-20,Mogadishu,576.13,0.203,black/official,Black Market
2024-01-21,Mogadishu,574.19,-0.291,black/official,Black Market
2024-01-22,Mogadishu,572.12,-0.524,black/official,Black Market
2024-01-23,Mogadishu,568.89,-0.387,black/official,Black Market
2024-01-24,Mogadishu,570.81,0.293,black/official,Black Market
2024-01-25,Mogadishu,570.99,0.127,black/official,Black Market
2024-01-26,Mogadishu,574.27,0.524,black/official,Black Market
2024-01-27,Mogadishu,569.73,-0.911,black/official,Black Market
2024-01-28,Mogadishu,567.79,-0.497,black/official,Black Market
2024-01-29,Mogadishu,567.65,-0.077,black/official,Black Market
2024-01-30,Mogadishu,566.71,-0.278,black/official,Black Market
2024-01-31,Mogadishu,564.67,-0.285,black/official,Black Market
2024-02-01,Mogadishu,566.66,0.177,black/official,Black Market
2024-02-02,Mogadishu,566.04,-0.187,black/official,Black Market
2024-02-03,Mogadishu,568.94,0.485,black/official,Black Market
2024-02-04,Mogadishu,567.26,-0.247,black/official,Black Market
2024-02-05,Mogadishu,569.56,0.449,black/official,Black Market
2024-02-06,Mogadishu,569.38,0.002,black/official,Black Market
2024-02-07,Mogadishu,568.35,-0.139,black/official,Black Market
2024-02-08,Mogadishu,568.37,-0.057,black/official,Black Market
2024-02-09,Mogadishu,567.68,-0.331,black/official,Black Market
2024-02-10,Mogadishu,563.83,-0.676,black/official,Black Market
2024-02-11,Mogadishu,563.67,0.036,black/official,Black Market
2024-02-12,Mogadishu,563.55,-0.068,black/official,Black Market
2024-02-13,Mogadishu,564.23,0.121,black/official,Black Market
2024-02-14,Mogadishu,567.16,0.405,black/official,Black Market
2024-02-15,Mogadishu,566.73,-0.282,black/official,Black Market
2024-02-16,Mogadishu,569.77,0.207,black/official,Black Market
2024-02-17,Mogadishu,569.58,-0.173,black/official,Black Market
2024-02-18,Mogadishu,569.35,0.035,black/official,Black Market
2024-02-19,Mogadishu,569.07,0.003,black/official,Black Market
2024-02-20,Mogadishu,567.35,-0.373,black/official,Black Market
2024-02-21,Mogadishu,568.46,0.219,black/official,Black Market
2024-02-22,Mogadishu,566.63,-0.275,black/official,Black Market
2024-02-23,Mogadishu,566.39,-0.126,black/official,Black Market
2024-02-24,Mogadishu,567.96,0.08,black/official,Black Market
2024-02-25,Mogadishu,567.14,-0.114,black/official,Black Market
2024-02-26,Mogadishu,568.34,0.092,black/official,Black Market
2024-02-27,Mogadishu,570.2,0.458,black/official,Black Market
2024-02-28,Mogadishu,571.0,0.088,black/official,Black Market
2024-02-29,Mogadishu,573.09,0.238,black/official,Black Market
2024-03-01,Mogadishu,574.25,0.307,black/official,Black Market
2024-03-02,Mogadishu,573.57,0.061,black/official,Black Market
2024-03-03,Mogadishu,571.75,-0.415,black/official,Black Market
2024-03-04,Mogadishu,569.29,-0.263,black/official,Black Market
2024-03-05,Mogadishu,571.58,0.338,black/official,Black Market
2024-03-06,Mogadishu,569.97,-0.303,black/official,Black Market
2024-03-07,Mogadishu,567.51,-0.312,black/official,Black Market
2024-03-08,Mogadishu,569.07,0.31,black/official,Black Market
2024-03-09,Mogadishu,570.34,0.005,black/official,Black Market
2024-03-10,Mogadishu,567.5,-0.493,black/official,Black Market
2024-03-11,Mogadishu,565.78,-0.377,black/official,Black Market
2024-03-12,Mogadishu,566.17,-0.044,black/official,Black Market
2024-03-13,Mogadishu,563.19,-0.3,black/official,Black Market
2024-03-14,Mogadishu,560.91,-0.329,black/official,Black Market
2024-03-15,Mogadishu,561.59,0.062,black/official,Black Market
2024-03-16,Mogadishu,561.37,0.083,black/official,Black Market
2024-03-17,Mogadishu,560.52,0.021,black/official,Black Market
2024-03-18,Mogadishu,563.18,0.311,black/official,Black Market
2024-03-19,Mogadishu,559.64,-0.49,black/official,Black Market
2024-03-20,Mogadishu,560.47,0.109,black/official,Black Market
2024-03-21,Mogadishu,564.79,0.183,black/official,Black Market
2024-03-22,Mogadishu,568.3,0.471,black/official,Black Market
2024-03-23,Mogadishu,568.32,-0.11,black/official,Black Market
